property_id,listing_date,property_type,city,neighborhood_tier,zipcode_crime_rate,school_rating,distance_to_downtown_miles,walk_score,bedrooms,bathrooms,square_feet,lot_size_sqft,stories,garage_spaces,year_built,house_age,has_basement,has_pool,overall_condition,kitchen_quality,hvac_condition,roof_condition,renovation_year,years_since_renovation,days_on_market,listing_season,market_trend,interest_rate,has_fireplace,has_patio_deck,has_security_system,hoa_fees,sale_price,high_value_property
PROP_00000001,17-09-2023,Condo,Denver,Premium,1.33,6,33.5,38,4,3,2205,10019,2,1,1946,78,No,No,Good,Premium,Old,Good,2013,11,37,Summer,Stable,6.43,No,Yes,Yes,0,822296,Yes
PROP_00000002,27-04-2023,Single Family,Seattle,Premium,1.67,6,9.2,85,2,2.5,1736,1000,1,2,1940,84,No,No,Fair,Average,Good,New,2005,19,5,Fall,Stable,7.15,Yes,Yes,No,307,687536,No
PROP_00000003,28-11-2023,Single Family,Austin,Average,1.16,6,2.1,98,6,3,3093,30134,2,0,1990,34,No,No,Fair,Premium,Good,Good,2008,16,7,Fall,Rising,7.48,No,Yes,No,0,1207336,Yes
PROP_00000004,15-02-2023,Single Family,Austin,Good,0.97,8,2.8,46,4,4,2181,11487,2,2,1989,35,No,No,Fair,Average,Good,Good,2004,20,86,Summer,Stable,6.62,Yes,No,No,0,938047,Yes
PROP_00000005,07-11-2023,Single Family,Atlanta,Premium,2.64,7,10.2,54,3,1,2303,3577,2,1,1946,78,No,Yes,Good,Premium,Fair,Fair,,78,88,Spring,Rising,5.9,Yes,No,No,160,691008,No
PROP_00000006,27-03-2023,Single Family,Seattle,Developing,3.3,5,1.7,24,1,3,1098,4363,2,1,1985,39,No,No,Good,Average,Fair,Good,,39,58,Fall,Stable,7.44,No,Yes,No,0,566847,No
PROP_00000007,15-09-2023,Townhouse,Seattle,Average,0.14,7,0.6,62,4,2.5,2564,15144,1,2,1996,28,No,No,Good,Good,Good,Fair,2015,9,23,Fall,Stable,7.06,Yes,No,No,340,916553,Yes
PROP_00000008,05-08-2023,Townhouse,Seattle,Good,7.96,6,29.7,25,3,3,2403,4134,3,3,1943,81,Yes,No,Fair,Premium,Good,Good,2002,22,37,Winter,Rising,6.52,No,No,No,296,844855,Yes
PROP_00000009,26-11-2023,Single Family,Seattle,Developing,1.27,7,6.3,49,4,2,2423,4586,1,0,1965,59,No,No,Good,Good,Fair,New,,59,17,Spring,Rising,7.45,No,Yes,No,0,778269,No
PROP_00000010,12-09-2023,Single Family,Austin,Average,0.82,7,4.5,46,5,2,3055,9293,1,2,1979,45,Yes,No,Good,Average,New,Good,2009,15,19,Summer,Rising,7.8,Yes,No,No,172,962302,Yes
PROP_00000011,19-05-2023,Condo,Seattle,Good,1.27,8,0.7,25,3,2,1897,25390,2,0,1964,60,Yes,No,Good,Good,Good,Fair,,60,56,Fall,Stable,6.37,Yes,Yes,No,0,845712,Yes
PROP_00000012,28-01-2023,Townhouse,Phoenix,Average,1.24,9,4.6,31,3,2,2228,7734,2,3,1974,50,Yes,No,Fair,Basic,Good,Good,2014,10,75,Summer,Declining,5.26,No,No,No,0,808848,Yes
PROP_00000013,24-12-2023,Condo,Seattle,Average,4.27,7,9.4,80,3,3,2557,6302,1,2,1963,61,Yes,No,Fair,Good,New,Fair,,61,8,Fall,Stable,7.03,Yes,No,No,0,826289,Yes
PROP_00000014,13-08-2023,Condo,Austin,Good,14.56,7,14.9,52,5,1,2842,4337,2,2,1981,43,No,Yes,Poor,Average,New,Good,,43,2,Fall,Stable,5.72,Yes,No,No,0,902151,Yes
PROP_00000015,30-09-2023,Single Family,Seattle,Average,1.79,3,10.6,37,4,2.5,2344,7985,1,1,1952,72,No,No,Poor,Premium,New,New,,72,19,Spring,Stable,7.23,Yes,Yes,No,0,660568,No
PROP_00000016,22-09-2023,Townhouse,Austin,Average,5.28,6,3,10,2,1,1235,11919,2,0,2020,4,Yes,No,Good,Premium,Good,Fair,2022,2,13,Winter,Rising,6.11,Yes,Yes,No,372,730117,No
PROP_00000017,14-02-2023,Townhouse,Phoenix,Average,3,7,9.4,40,4,1.5,2285,3160,1,2,1993,31,No,No,Good,Average,Fair,Good,2010,14,18,Spring,Stable,6.35,No,Yes,No,0,649233,No
PROP_00000018,05-10-2023,Townhouse,Austin,Premium,2.13,5,2.4,39,4,3,3075,12319,1,2,1987,37,Yes,No,Poor,Average,Good,Good,2010,14,4,Summer,Declining,6.15,No,Yes,No,0,1127053,Yes
PROP_00000019,14-08-2023,Condo,Austin,Developing,0.27,6,2.2,61,3,2.5,1988,20199,1,2,1954,70,Yes,No,Good,Good,Good,New,2010,14,35,Fall,Rising,7.24,No,Yes,Yes,362,651581,No
PROP_00000020,15-07-2023,Single Family,Austin,Average,0.71,8,13.1,47,2,2.5,1479,33306,1,0,1941,83,No,No,Good,Good,New,Needs Replacement,,83,20,Fall,Rising,5.49,Yes,Yes,No,0,600305,No
PROP_00000021,08-05-2023,Townhouse,Austin,Good,3.76,7,6.1,81,4,2,2530,3029,2,0,1995,29,No,No,Fair,Average,Good,Needs Replacement,,29,9,Summer,Stable,6.92,No,No,No,0,875081,Yes
PROP_00000022,18-12-2023,Townhouse,Phoenix,Average,0.91,6,0.5,47,1,2.5,1211,20959,2,2,2022,2,Yes,No,Excellent,Average,Fair,Fair,2013,11,74,Spring,Stable,5.42,No,Yes,No,0,688472,No
PROP_00000023,19-10-2023,Single Family,Phoenix,Developing,2.1,6,12.6,69,4,1.5,2143,25658,2,2,1953,71,Yes,No,Excellent,Good,Old,Good,,71,10,Winter,Rising,7.31,No,Yes,No,364,736008,No
PROP_00000024,28-03-2023,Single Family,Austin,Average,1.49,5,3.8,66,3,2.5,2102,2246,2,1,1979,45,Yes,No,Good,Average,Fair,Needs Replacement,2005,19,14,Fall,Rising,6.57,Yes,No,Yes,0,671937,No
PROP_00000025,10-03-2023,Condo,Atlanta,Good,2.27,9,8,40,4,3,2379,23060,1,2,2006,18,Yes,No,Fair,Good,Good,Needs Replacement,2009,15,18,Spring,Declining,6.14,No,Yes,No,0,1015940,Yes
PROP_00000026,06-09-2023,Condo,Austin,Premium,5.48,6,3.9,83,5,1.5,2576,4528,1,1,2018,6,No,Yes,Excellent,Good,Old,Fair,2023,1,19,Fall,Rising,7.49,Yes,No,No,0,1064958,Yes
PROP_00000027,22-05-2023,Single Family,Denver,Average,1.67,5,1.2,72,4,2.5,2260,1150,1,1,2008,16,No,No,Good,Average,Good,Needs Replacement,,16,70,Summer,Stable,7.53,No,No,Yes,0,778553,No
PROP_00000028,10-08-2023,Condo,Phoenix,Average,3.02,7,17,75,1,2,1565,6185,2,0,1967,57,No,No,Good,Average,Fair,New,,57,62,Spring,Stable,5.81,Yes,Yes,No,0,376584,No
PROP_00000029,27-06-2023,Single Family,Atlanta,Average,6.26,9,0.5,39,5,3,2394,2803,3,3,1952,72,No,No,Good,Good,Old,Good,,72,16,Winter,Stable,6.69,Yes,Yes,No,0,642848,No
PROP_00000030,30-08-2023,Condo,Seattle,Premium,3.38,6,15.4,100,2,4,1996,4642,2,1,2016,8,Yes,Yes,Fair,Basic,Good,Fair,2023,1,3,Winter,Rising,6.41,Yes,Yes,No,0,1044910,Yes
PROP_00000031,09-01-2023,Condo,Austin,Good,0.67,9,10.9,51,3,4,2154,1000,2,3,2013,11,No,No,Good,Premium,Old,New,2018,6,3,Fall,Stable,5.39,No,Yes,No,0,999763,Yes
